,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,actual_label
0,1.720689212,-2.911539625,-2.237974592,-9.226343774,1.662153084,7,gazing_else_where
1,1.346863238,-2.674532625,-3.603621281,-10.27139971,8.54917138,12,gazing_else_where
2,1.580188587,-2.803772025,-3.869373199,-5.313840502,3.088983768,4,gazing_else_where
3,2.226857787,-2.959689827,-3.246697611,-9.186662946,5.181758756,9,gazing_else_where
4,2.475193537,-2.851765026,-2.955255726,-13.50966025,-0.77622352,12,gazing_else_where
5,2.101124343,-2.667798213,-3.524994643,-10.28971418,6.59670075,11,gazing_else_where
6,1.930066577,-2.598057397,-3.958151109,-6.791276102,7.369121033,8,gazing_else_where
7,1.72802515,-3.12847398,-4.193615015,-12.19341706,11.71739189,16,gazing_else_where
8,2.213564043,-2.88764152,-3.151849381,-10.27113206,11.80247239,14,gazing_else_where
9,2.465330619,-2.841763996,-3.394104855,-9.118686251,3.369833401,8,gazing_else_where
10,1.784963781,-2.852669882,-2.912725352,-7.945923455,9.494588929,12,gazing_else_where
11,3.001417437,-2.836815959,-3.906503481,-6.258436069,-2.230235817,6,gazing_else_where
12,2.89216854,-3.104119333,-4.116845391,-9.81973241,11.25970078,14,gazing_else_where
13,2.840188485,-3.03829809,-3.50414656,-9.590450209,1.74305355,7,gazing_else_where
14,3.066408958,-3.180501287,-3.170348401,-10.37517387,8.832443157,12,gazing_else_where
15,2.352173792,-2.760738553,-3.260044004,-12.07396176,-0.396489622,10,gazing_else_where
16,2.3329697,-2.850303767,-3.313934498,-8.441008399,0.459206113,6,gazing_else_where
17,2.209726917,-3.256400126,-3.134705289,-8.277560078,-6.220091219,9,gazing_else_where
18,2.813354965,-3.046797662,-3.276875417,-13.77157635,-1.261429992,12,gazing_else_where
19,2.928821365,-2.828867738,-3.227202144,-11.52563336,-4.200219724,11,gazing_else_where
20,3.158830404,-3.022916628,-3.752163679,-9.408605726,-4.031484591,9,gazing_else_where
21,2.92617766,-3.249379847,-3.782764138,-12.72335735,1.712119414,11,gazing_else_where
22,2.244506727,-3.083492578,-3.57008382,-14.44747273,-4.486155859,14,gazing_else_where
23,2.426024473,-2.980275199,-3.639144465,-9.050730521,0.037180123,7,gazing_else_where
24,1.853721467,-3.345289526,-4.062776338,-8.833464104,8.565306469,11,gazing_else_where
25,2.22548222,-3.06746139,-5.245787251,-12.49987356,-7.149199616,14,gazing_else_where
26,2.88215662,-3.112236075,-5.674215731,-9.575118973,0.809658921,8,gazing_else_where
27,2.018395249,-3.14440933,-8.396869521,-7.488774488,-14.08949594,19,gazing_else_where
28,1.176809794,-2.920834031,-11.18493644,-4.163141301,-2.47413798,6,gazing_else_where
29,2.002658983,-2.856065049,-9.870103411,-6.970063279,2.057782634,4,gazing_else_where
30,1.824131244,-2.681597893,-10.52052692,-6.190766811,-0.354423215,4,gazing_else_where
31,1.913295468,-2.780913617,-8.469350948,-5.441014436,2.931575918,3,gazing_else_where
32,2.192634254,-2.618892896,-9.190369626,-10.99601633,1.426239593,9,gazing_else_where
33,2.400099971,-2.717228669,-9.202599273,-7.345550028,-8.828198449,13,gazing_else_where
34,2.256297811,-2.852502599,-8.303724688,-8.289813221,-7.76914077,12,gazing_else_where
35,2.09002741,-3.19100838,-8.52990365,-10.70516178,-4.328608641,11,gazing_else_where
36,2.579179996,-2.332272717,-9.92431629,-15.82603565,5.829832989,15,gazing_else_where
37,2.090574585,-2.830379401,-9.514856625,-10.53953516,-0.52823483,9,gazing_else_where
38,2.439099489,-3.34726843,-8.259983749,-11.20601735,-4.192448848,11,gazing_else_where
39,1.779191508,-2.844499904,-9.381913485,-10.22998783,-3.675553256,11,gazing_else_where
40,1.955692755,-3.14795175,-8.645340488,-1.845394933,-18.67133461,22,gazing_else_where
41,1.089429642,-3.430665688,-8.642208736,-4.188641211,4.927097486,3,gazing_else_where
42,2.028705276,-3.144999387,-8.27869026,-8.86123321,9.788769899,10,gazing_else_where
43,1.816336143,-3.159517473,-8.582379969,-5.096396219,-0.235636119,4,gazing_else_where
44,1.861535445,-2.917739086,-9.015252001,-6.667387841,-3.44997198,7,gazing_else_where
45,2.04993973,-3.062070501,-9.020888008,-3.29636313,-1.082128133,4,gazing_else_where
46,2.253076203,-2.954918521,-9.679039781,-7.867569809,0.88948003,6,gazing_else_where
47,2.681791023,-3.570097464,-8.395501192,-5.183937479,-7.488494118,10,gazing_else_where
48,2.774304942,-2.532566005,-4.10555943,-10.52269386,-1.383606735,9,gazing_else_where
49,2.194566883,-3.283643887,-0.844932978,12.7256899,-7.185863202,19,gazing_else_where
50,4.498480581,-3.541372798,-1.725073011,15.28416159,-8.955448746,22,gazing_else_where
51,4.208072676,-3.037809602,-1.542984001,6.577555393,-10.44339153,16,gazing_else_where
52,3.212399859,-3.272294335,-1.970058168,8.634709964,-7.13178701,16,gazing_else_where
53,3.032040927,-3.237710727,-2.131033699,8.040868822,-10.60071236,17,gazing_else_where
54,3.50649536,-2.67648175,-3.25499967,8.224463273,-7.528657517,16,gazing_else_where
55,2.608382703,-3.642376477,-3.615728409,13.2608133,-6.422088468,20,gazing_else_where
56,3.349794014,-2.975821786,-3.600069906,15.60273342,-13.58973384,26,gazing_else_where
57,3.11034074,-3.711990891,-3.614850727,14.39823088,-5.485989578,21,gazing_else_where
58,3.660007331,-3.06620262,-3.730976494,21.9922164,-10.1952368,29,gazing_else_where
59,3.316504011,-3.062121751,-3.358550818,18.11738848,-8.708068069,25,gazing_else_where
60,4.156620505,-3.002162438,-3.587326344,17.969724,-8.619251385,25,gazing_else_where
61,3.801629702,-2.886664984,-3.515512659,7.745401608,21.04997308,24,gazing_else_where
62,3.960472578,-2.899171639,-3.246608575,3.634589488,20.05487821,22,gazing_else_where
63,4.118731276,-3.147653036,-3.702361973,6.675070647,13.45926488,17,gazing_else_where
64,4.076989448,-2.75449969,-3.752800791,6.710798164,20.10263549,23,gazing_else_where
65,3.749698238,-2.793268141,-3.180521359,11.44439524,21.14642772,26,gazing_else_where
66,3.937767383,-3.18834649,-2.533044213,15.30646679,20.97541157,28,gazing_else_where
67,6.337873041,-3.460489416,-1.473467564,-11.39844477,26.85123913,27,gazing_else_where
68,6.481150164,-2.33066735,1.590779288,-8.272576467,12.90481073,14,gazing_else_where
69,5.061043594,-2.131167129,1.319769028,-9.02697334,13.54600092,15,gazing_else_where
70,4.821137144,-2.3423683,1.364857373,-9.510578182,20.03835453,22,gazing_else_where
71,5.469235434,-2.066909468,0.8909243,-7.231267974,10.01640565,12,gazing_else_where
72,5.69387977,-2.522441926,0.993853833,-8.829230294,13.33549203,15,gazing_else_where
73,5.806163602,-2.731099096,0.566032987,-8.511004966,13.37198034,15,gazing_else_where
74,5.630893221,-2.358247337,0.906900469,-6.885592979,12.20659516,13,gazing_else_where
75,5.344025711,-2.451483045,1.28539206,-6.036271252,9.464343276,10,gazing_else_where
76,5.565971833,-2.265206703,0.979622982,-7.762259291,12.46068563,14,gazing_else_where
77,6.002837821,-2.539358146,1.043856086,-8.951478803,16.23983286,18,gazing_else_where
78,5.597923037,-2.530576891,0.336498678,-5.309755274,9.851458895,11,gazing_else_where
79,5.381713168,-2.089501004,0.556205614,-10.68387164,21.62214196,23,gazing_else_where
80,5.266354394,-2.294876523,0.952565011,-6.37754498,19.22822449,20,gazing_else_where
81,5.245347552,-2.15411293,0.664421483,-7.255053598,12.44793607,15,gazing_else_where
82,4.558047864,-2.208288357,1.287811026,-9.171140341,14.65459301,16,gazing_else_where
83,5.073342473,-2.252135302,0.980504934,-4.876014736,18.40372547,19,gazing_else_where
84,4.526390164,-2.579532118,0.562970499,-8.862342809,14.88348241,17,gazing_else_where
85,5.287500239,-2.290117332,0.653835278,-4.665130101,2.926667433,3,gazing_else_where
86,4.659002735,-2.260937546,0.896811055,-11.60617991,10.50842347,14,gazing_else_where
87,5.408474586,-2.370478298,0.332863295,-15.47501908,7.219306442,15,gazing_else_where
88,5.664331539,-2.723709581,0.630108474,-17.12432667,6.474053353,16,gazing_else_where
89,3.858192094,-2.38653737,-1.657571458,-13.55805617,5.994662655,13,gazing_else_where
90,3.518483074,-3.05599452,-2.476361579,-19.45029544,7.088151102,19,gazing_else_where
91,4.379707867,-2.789349645,-2.593492304,-18.34585289,2.827575047,17,gazing_else_where
92,3.884825726,-3.343850276,-2.150596109,-20.44348129,-1.381587893,20,gazing_else_where
93,4.946364098,-2.865627529,-3.682006246,-16.49355145,7.548525154,17,gazing_else_where
94,4.292030874,-2.095216069,-3.27423564,-18.40122662,10.65810232,20,gazing_else_where
95,3.867617786,-2.586656451,-3.714624846,-13.00447867,9.35909102,15,gazing_else_where
96,4.3811974,-2.223620969,-3.940582429,-15.49857155,0.911507196,15,gazing_else_where
97,2.864964991,-2.770827315,-3.354888873,-18.89151971,1.027164362,18,gazing_else_where
98,3.131440349,-2.742552953,-3.653289287,-20.35320857,11.66010647,22,gazing_else_where
99,1.746850592,-2.958564249,-2.878970614,-17.03469816,11.14662457,20,gazing_else_where
100,3.201631075,-3.19653598,-3.635589211,-19.47502558,1.472348858,19,gazing_else_where
101,1.691959331,-3.080687002,-3.784998103,-15.60940413,9.253721284,17,gazing_else_where
102,2.932661116,-3.504394065,-0.646739026,-15.32782783,2.629093124,14,gazing_else_where
103,2.443749842,-2.743072852,4.671293536,-19.00656668,4.85736366,19,gazing_else_where
104,2.998744347,-3.504399283,9.255646485,-19.23137441,-2.861939378,19,gazing_else_where
105,0.209385328,-3.508736429,10.80383685,-18.42754336,-1.552671629,19,gazing_else_where
106,2.7839626,-4.103548849,10.88602155,-19.36430405,1.933987676,19,gazing_else_where
107,2.451929373,-4.009416098,10.29427333,-15.66774481,1.083862396,15,gazing_else_where
108,1.4769933,-3.451835242,9.927511657,-14.3976713,5.050563128,15,gazing_else_where
109,1.633598742,-3.49118544,9.890827713,-17.3115722,8.727902934,20,gazing_else_where
110,0.38314975,-3.007936549,8.864543685,-13.59654622,11.69972385,19,gazing_else_where
111,0.461112309,-2.348925127,-10.39622073,-16.27691706,1.206817468,16,gazing_else_where
112,-3.467584246,-3.736176348,-19.42676178,-22.54206556,-0.15791229,23,gazing_else_where
113,-2.631587064,-2.911008507,-17.33533058,-21.31798221,2.231757887,22,gazing_else_where
114,-2.164881925,-2.55100043,-16.30749525,-17.47809387,1.999976288,18,gazing_else_where
115,-2.50057579,-1.845428182,-15.92786453,-25.09072166,3.360272426,26,gazing_else_where
116,-1.896789296,-1.871060489,-15.46356116,-24.33765098,0.428891156,25,gazing_else_where
117,-0.422094161,-1.990576194,-14.57022759,-20.50502965,8.244737602,22,gazing_else_where
118,-0.385762616,-2.354929869,-14.16396304,-20.14388075,0.468144249,21,gazing_else_where
119,-1.34801575,-2.49562202,-13.79031876,-19.58932481,3.455117389,20,gazing_else_where
120,-0.866168591,-2.628006433,-14.12564599,-19.72940226,7.453972133,20,gazing_else_where
121,0.639342634,-2.363645479,-12.79619031,-16.39898706,3.186736566,16,gazing_else_where
122,0.777042439,-1.845053709,-13.15008029,-19.66065136,5.663892291,19,gazing_else_where
123,1.557971674,-3.126650893,-10.12915075,19.07339405,-6.772351922,26,gazing_else_where
124,2.006450464,-2.538666661,-7.496401714,18.11287685,-8.794758979,26,gazing_else_where
125,0.763021666,-4.238614973,3.21461273,18.76889744,-5.806105611,25,gazing_else_where
126,1.906252337,-6.756821408,12.38262112,20.72495998,-5.76202583,28,gazing_else_where
127,1.929521521,-6.309517278,11.41533425,16.53351825,-5.271739996,24,gazing_else_where
128,5.111476202,-6.396819773,7.457947053,17.9240543,-7.846524623,26,gazing_else_where
129,5.4779058,-4.380063199,3.633989169,17.54220807,-6.44673706,25,gazing_else_where
130,4.028046416,-4.170751243,2.560762449,14.84550052,-5.473815767,22,gazing_else_where
131,3.389365741,-3.824214382,2.465078093,14.65423199,-5.577963722,22,gazing_else_where
132,4.697313474,-3.712941315,3.288211253,4.141293127,25.95075297,28,gazing_else_where
133,3.356666101,-3.730236221,5.485544721,6.089129537,25.55577014,29,gazing_else_where
134,3.058177182,-3.226075206,5.906482208,10.49334039,32.15746627,36,gazing_else_where
135,2.914223754,-3.782955671,5.835592809,13.54481588,25.52074586,32,gazing_else_where
136,4.815007198,-4.601287807,13.77585832,4.747924721,22.4808397,27,gazing_else_where
137,5.218461418,-6.191456887,16.42710645,8.305465014,14.5952706,21,gazing_else_where
138,4.685187174,-5.860600693,16.3320982,9.083657878,8.900057515,18,gazing_else_where
139,5.464043636,-5.177287616,14.44024948,-1.924755399,14.20589979,17,gazing_else_where
140,5.021282551,-4.843355544,13.65956729,0.277809769,23.07692501,26,gazing_else_where
141,5.017793742,-4.051429983,12.94989012,-1.453948892,12.52252357,15,gazing_else_where
142,4.710258307,-4.684015335,13.61394217,0.637722234,18.70165214,21,gazing_else_where
143,5.185842292,-4.561053553,13.35528931,6.349301669,23.41019354,28,gazing_else_where
144,4.943789683,-4.832993767,13.30810591,1.002842962,18.59659796,22,gazing_else_where
145,3.533497384,-4.392263935,13.88972031,2.52121561,20.07466224,24,gazing_else_where
146,5.201395377,-4.439525809,13.67904927,-8.585495147,26.47662873,30,gazing_else_where
147,6.1448676,-4.360653942,14.56960704,-11.831791,13.48856791,19,gazing_else_where
148,7.733945893,-4.087568835,15.91541201,-16.55953141,6.15916629,17,gazing_else_where
149,7.67974003,-3.973563153,15.79370821,-15.59374332,1.668048467,15,gazing_else_where
150,8.184514504,-3.895462544,15.82207849,-19.93103861,-7.787442323,19,gazing_else_where
151,7.030605968,-3.553309049,16.29653178,-26.12728383,4.919124849,25,gazing_else_where
152,7.694600252,-4.282933223,15.79214555,-19.31688645,5.287328019,20,gazing_else_where
153,7.601420799,-4.042944939,16.12090688,-21.15605853,8.400626592,21,gazing_else_where
154,6.179030117,-3.615209504,18.95570014,-16.89796505,-5.177180768,15,gazing_else_where
155,5.356080477,-4.184735368,24.01970599,-22.60268226,14.79080215,28,gazing_else_where
156,4.389196989,-3.227562379,23.26859512,-23.16379111,12.14390282,27,gazing_else_where
157,4.448012124,-2.478856756,25.79433216,-24.94906629,21.19682156,34,gazing_else_where
158,4.102192166,-2.392644746,24.63264358,-22.43389095,13.03642816,27,gazing_else_where
159,3.391712094,-2.170407889,23.76830767,-22.30792534,17.80924632,30,gazing_else_where
160,2.394708318,-2.304358789,26.98827883,-22.84584185,10.46453024,26,gazing_else_where
161,4.282362556,-2.570887356,26.70111314,-25.51213192,6.382880215,27,gazing_else_where
162,5.319815063,-2.742919883,24.88642159,-25.32932081,8.248995933,26,gazing_else_where
163,2.885780769,-2.082538972,26.60832483,-23.77241639,16.51033348,30,gazing_else_where
164,3.907966976,-1.902168882,25.55840636,-24.19337136,6.029490942,25,gazing_else_where
165,3.876860054,-1.926575004,24.15631664,-15.389303,16.96250187,25,gazing_else_where
166,3.627591959,-2.436259082,16.63359832,0.727650997,-28.01051938,28,gazing_else_where
167,3.701812775,-4.173000765,11.64855711,11.06981918,-25.96381124,30,gazing_else_where
168,2.697680813,-4.800995957,11.31212166,7.600305268,-27.66376558,30,gazing_else_where
169,0.671440765,-5.428325632,8.899839895,5.570855398,-37.02282953,39,gazing_else_where
170,1.555342833,-4.777270656,6.104799276,5.207225248,-29.04089879,32,gazing_else_where
171,1.558182115,-4.582654856,4.864537891,8.53854057,-31.61234768,35,gazing_else_where
172,1.528709236,-4.57566677,4.218181712,10.65624077,-19.12335884,26,gazing_else_where
173,1.745873762,-4.732969413,3.980289292,18.73877802,-11.84005713,27,gazing_else_where
174,2.739853342,-4.747521743,4.862818637,21.52710662,-8.437320834,28,gazing_else_where
175,2.046225757,-4.032076856,5.025724599,19.1260876,-1.806576243,24,gazing_else_where
176,1.397016061,-4.233898808,4.426049925,15.55971105,-9.570901068,24,gazing_else_where
177,1.302732688,-4.555092534,3.885892463,9.06105608,-30.96472962,35,gazing_else_where
178,1.778284223,-5.028945075,3.103096609,7.334838715,-38.18011878,41,gazing_else_where
179,3.28704597,-4.579417809,2.451620135,10.94128577,-33.59347009,37,gazing_else_where
180,4.15905677,-3.712737767,2.133341403,16.46673902,-13.6779557,26,gazing_else_where
181,3.177788985,-4.087648039,4.042096545,-1.407734041,7.661720886,7,gazing_else_where
182,2.81956053,-3.630287195,7.439743113,-1.167751851,33.98700383,35,gazing_else_where
183,5.262537568,-2.070401962,16.33711834,1.506142644,12.61489513,17,gazing_else_where
184,1.726149242,-0.27403576,-9.921588112,5.61226637,-5.555995393,13,gazing_else_where
185,4.403428673,-1.164324139,-18.20681943,1.428841408,-0.927701138,7,gazing_else_where
186,3.890972386,-0.8537181,-18.51601799,9.503343151,-15.20986239,24,gazing_else_where
187,5.283225875,-1.157079431,-17.84182611,10.25816454,4.544813539,15,gazing_else_where
188,4.791079124,-0.895088229,-17.43902873,9.70082772,6.252802971,14,gazing_else_where
189,5.129096349,-0.553575746,-17.54795682,6.257834538,9.801963588,12,gazing_else_where
190,5.350722626,-1.04786853,-15.79309144,6.37391908,10.82254228,13,gazing_else_where
191,5.877227443,-1.006841867,-15.21825349,4.143137245,-1.880842958,9,gazing_else_where
192,4.307149985,-0.841497256,-14.0058884,-3.025053368,-2.904892635,6,gazing_else_where
193,4.106696052,-0.600641999,-13.63979446,-1.013128118,14.45302381,13,gazing_else_where
194,4.486945943,-0.755203809,-12.67723791,-4.385697815,21.7811416,20,gazing_else_where
195,4.440710884,-1.697652329,-6.687546662,-14.39667116,9.855790851,14,gazing_else_where
196,2.549623615,-3.272068248,7.876068881,1.865115491,18.30282829,20,gazing_else_where
197,4.10812033,-3.675242589,9.314780046,-0.167241276,28.24012258,29,gazing_else_where
198,3.364126101,-3.25598615,9.711570217,1.162865055,33.3834856,34,gazing_else_where
199,2.749902731,-3.355556405,9.320645265,-1.506168029,26.95991888,29,gazing_else_where
200,3.668883495,-3.374643753,8.783380357,0.694507542,18.38366297,20,gazing_else_where
201,2.532192345,-2.777633238,7.345452385,-18.6148053,5.907227309,18,gazing_else_where
202,0.202693061,-2.692317065,5.6766139,-20.7706269,7.29935021,21,gazing_else_where
203,0.765487041,-2.939787284,5.268456564,-12.44367181,8.108886916,14,gazing_else_where
204,-0.073102394,-3.173654402,5.237414721,-22.00460942,7.381172916,22,gazing_else_where
205,0.579627448,-2.972209143,4.782930299,-17.71867418,7.285517953,18,gazing_else_where
206,0.237308263,-2.6766146,4.746461085,-22.04816509,8.831132201,24,gazing_else_where
207,0.78001379,-2.586629064,4.981206338,-14.99336542,-1.277192455,14,gazing_else_where
208,1.718625411,-2.760087063,5.737494706,-18.22251646,14.64349444,23,gazing_else_where
209,1.593409888,-3.031455553,7.738718678,-21.76740312,13.31074875,26,gazing_else_where
210,1.084944268,-3.254602102,13.59532208,-17.23420837,-3.002936312,17,gazing_else_where
211,1.254281092,-3.747250976,14.00831252,-21.65137036,0.234433279,21,gazing_else_where
212,1.500090371,-2.843690367,14.43211027,-14.63496808,7.783663373,17,gazing_else_where
213,1.459564196,-2.663596087,13.55595449,-19.38801653,15.91601733,25,gazing_else_where
214,2.473251159,-2.993660765,12.9638885,-14.77259595,5.08076995,16,gazing_else_where
215,2.812682111,-3.237266262,12.68579814,-16.25889779,-5.705373782,16,gazing_else_where
216,3.361289747,-3.029908708,13.40055784,-16.01786495,4.96908413,17,gazing_else_where
217,2.937846977,-3.299210532,12.44275415,-10.05552967,29.22747738,32,gazing_else_where
218,1.697645679,-1.299737091,-12.26286825,1.859028636,-19.39829814,24,gazing_else_where
219,2.052338998,-1.883444459,-10.545075,2.056427239,-7.67764337,12,gazing_else_where
220,0.166181033,-2.275306652,-10.23421857,-1.095110701,-18.65472667,23,gazing_else_where
221,1.093968846,-2.133368925,-9.480323951,1.966545629,-20.86580896,26,gazing_else_where
222,2.588774634,-2.676684612,-8.143519439,-12.88886761,9.258227534,13,gazing_else_where
223,2.878556684,-3.431756933,3.192459916,-21.63067323,-5.448795498,21,gazing_else_where
224,4.550247381,-5.385508711,17.57722971,1.549578584,34.59298893,36,gazing_else_where
225,2.269849638,-4.160800381,17.19421848,2.58854948,27.37368414,30,gazing_else_where
226,3.984157695,-4.865279781,16.57733355,5.871787706,12.79372977,19,gazing_else_where
227,5.124822134,-4.877858013,15.72178095,6.36580852,25.89812865,29,gazing_else_where
228,4.870080172,-4.543119189,15.04709443,11.30918336,15.25190215,23,gazing_else_where
229,4.598781585,-5.480040917,14.74468722,8.875663072,18.60095637,24,gazing_else_where
230,5.427912487,-5.520670107,13.59190722,10.32578429,23.86076246,29,gazing_else_where
231,4.855953463,-5.889941612,12.89660548,9.069022665,35.10326442,37,gazing_else_where
232,5.09672362,-5.862681949,12.68111844,6.191032984,23.40262672,26,gazing_else_where
233,4.96642747,-6.01307853,13.57195938,10.85204009,27.02263142,32,gazing_else_where
234,3.809195321,-5.458915887,12.93052072,9.138782967,16.8681194,23,gazing_else_where
235,4.967500446,-5.551587078,13.61927622,7.947000758,13.31039251,18,gazing_else_where
236,4.838447024,-5.412785167,13.29485178,14.08026938,13.38394492,24,gazing_else_where
237,5.048455622,-5.285540113,13.48978751,12.60609304,12.70856258,22,gazing_else_where
238,5.321519149,-5.784655065,13.37700875,10.68383606,30.11542984,33,gazing_else_where
239,4.657767471,-5.285292333,13.36398713,10.76834764,10.26315139,19,gazing_else_where
240,4.755733541,-5.289417039,13.16557237,13.1657661,13.55736841,23,gazing_else_where
241,4.854641279,-5.215473437,13.748581,9.241070122,16.25136438,23,gazing_else_where
242,5.150343455,-4.98819451,13.37483977,12.36874428,12.91855902,21,gazing_else_where
243,3.870983475,-5.548788005,13.85655883,11.60120969,6.879416485,18,gazing_else_where
244,4.786721752,-5.49942933,13.40128289,7.689054333,18.63225926,24,gazing_else_where
245,5.376839405,-5.42298305,14.01305069,9.015073272,4.50954227,15,gazing_else_where
246,4.924197144,-5.598218612,13.44396808,9.489771873,15.70169843,22,gazing_else_where
247,5.477212856,-5.339798343,13.38749542,7.053040345,21.13841086,25,gazing_else_where
248,5.652276858,-5.161212846,12.91313229,11.24105827,9.44272956,19,gazing_else_where
249,4.958232589,-5.147808034,13.12442932,9.325703162,5.361297151,14,gazing_else_where
250,5.123556189,-5.173321035,13.02141166,10.14451217,16.36436298,23,gazing_else_where
251,5.527117674,-4.852487682,12.76705495,6.456457516,12.12614912,18,gazing_else_where
252,5.304524287,-5.240413787,12.82095217,9.855266157,8.928215982,17,gazing_else_where
253,5.115122694,-5.291008507,12.51543775,6.900847584,10.9316531,16,gazing_else_where
254,5.193201227,-5.66793463,12.87765402,8.170074536,9.032127319,16,gazing_else_where
255,4.400252443,-5.043347139,13.16186135,9.370450893,14.96188196,22,gazing_else_where
256,4.556017375,-5.199137108,12.92560442,7.073271211,11.64526875,17,gazing_else_where
257,6.014103231,-5.328701038,13.24751109,9.377803876,18.35984646,24,gazing_else_where
258,4.221637679,-5.223453974,13.71132942,9.858038892,11.34206943,18,gazing_else_where
259,4.220383808,-4.926714804,13.31442305,9.757540436,5.530922991,15,gazing_else_where
260,5.630206286,-5.032874076,13.13018423,7.485607799,12.25285482,18,gazing_else_where
261,5.121694059,-4.988922039,13.05899882,4.005314758,11.29891099,14,gazing_else_where
262,4.983448658,-4.915294585,13.70114689,4.944587594,5.324926916,11,gazing_else_where
263,5.426096998,-4.800313276,12.97354586,6.998257768,15.13512221,19,gazing_else_where
264,4.974095255,-5.01635065,12.78339429,7.210256404,12.4607394,17,gazing_else_where
265,5.938322707,-4.925477198,13.05082104,9.445413419,15.65460854,22,gazing_else_where
266,4.352980405,-4.694036266,12.99209831,9.529446479,14.89842826,21,gazing_else_where
267,4.333836575,-4.615144278,13.1656692,11.22550083,13.27720999,21,gazing_else_where
268,5.360465498,-5.37572294,13.43656996,10.46844414,8.150125025,17,gazing_else_where
269,5.094259513,-5.347655354,12.98212772,4.767824249,7.917996374,13,gazing_else_where
